Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14053470
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6536940
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694320
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5521200
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2640471
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398551
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,510096
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252771
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,381795
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,243979
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,108997
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141163
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,88185
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,267044
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44194
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31452
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,27995
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,46583
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,21210
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,19558
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,11113
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2515
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,727
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1033
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14067037
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6540119
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695324
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5531106
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2644464
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398140
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,510385
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252327
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,382005
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141158
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244406
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,108944
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,88085
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,267735
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,31398
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,44193
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,27962
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,46708
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,19587
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,21253
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,11139
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,2518
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,726
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1034
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14075032
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,6540982
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3694603
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,5540534
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2648082
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,397608
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,510540
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,395495,251809
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,382105
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,195869,244582
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,155782,141105
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,108775
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,87955
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,268436
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,44143
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,50411,31329
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,32440,27946
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,46825
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13137,19611
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,21283
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,11165
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,2520
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,994,725
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1034
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14081164
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6541758
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3692331
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5546580
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2650420
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,397347
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510903
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,251555
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382486
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108536
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244878
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141081
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,87779
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,269084
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44092
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31253
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,27899
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46920
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19631
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21314
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11191
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2522
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,724
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1035
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14090987
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6543430
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3691354
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,5553964
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2653036
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,396843
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,511028
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,251049
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,382572
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,108336
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,141045
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,245221
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,87633
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,269681
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,44037
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,31166
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,27849
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,47014
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,19654
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,21349
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,11215
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2524
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,1035
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,723
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,12004167,14098631
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6556519,6543382
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4042146,5559502
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3896888,3690601
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2240151,2654549
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,568252,396215
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,527247,510969
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,415527,250447
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398340,382514
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,167849,108118
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,159369,140978
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,158773,270087
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,139572,87443
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,138689,245611
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,63252,43967
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,55089,31079
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,51076,46999
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,45601,27784
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,16617,21367
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14214,19674
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6359,11232
US-Canada Border,10/01/2018 12:00:00 AM,Trains,2059,2526
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,999,722
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,943,1035
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,14106997
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6544206
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5563852
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3691212
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2655706
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,395856
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,511092
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,250037
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,382596
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,270418
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,245923
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,107947
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,140977
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,87298
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,43894
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,46973
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,31009
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,27726
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,21337
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,19696
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,11245
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2528
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,721
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1036
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12338175,14113524
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6554844,6544167
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6367333,5560887
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3851303,3690621
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2999558,2654437
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,552741,395277
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508622,511101
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,401582,249478
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,377595,382614
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,239821,270531
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,218838,246023
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,159349,140909
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148925,107795
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,141581,87098
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83530,46838
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,60159,43834
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55602,21211
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,42889,30965
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,40034,27680
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14961,19714
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9222,11252
US-Canada Border,08/01/2018 12:00:00 AM,Trains,2099,2529
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,928,721
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,909,1036
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,12700131,14118759
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6476572,6544417
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6118700,5558821
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3916503,3689784
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2902555,2653518
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,514241,394836
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482545,511206
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,370512,249029
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,362798,382687
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,256556,245984
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223674,270705
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151194,140871
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,144717,107659
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129790,86940
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80348,46714
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60140,43774
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,48206,30901
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,48139,21111
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40489,27633
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15680,19729
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9385,11259
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1985,2531
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,950,720
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,875,1037
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,14127000
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6545084
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,5561250
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3690274
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2653862
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,394337
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,511254
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,248515
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,382756
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,270923
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,107509
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,86725
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,140877
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,246532
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,43695
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,46657
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,30829
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,27571
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,21027
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,19749
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,11266
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2533
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,719
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1037
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,14133349
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,6544418
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,5565711
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3689675
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,2654888
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,393713
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,511206
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,247918
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,382717
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,271196
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,107341
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,140841
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,86515
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,247047
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,43595
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,30744
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,46665
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,27518
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,21007
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,19774
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,11277
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,2535
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,718
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,1038
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,12200002,14140590
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,6505841,6544563
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,3860744,3689034
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3672087,5572804
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,2013265,2657291
US-Mexico Border,04/01/2018 12:00:00 AM,Trucks,542965,393154
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,501741,511241
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Full,394125,247371
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,375045,382745
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Empty,146387,140820
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,145538,107198
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137434,86324
US-Mexico Border,04/01/2018 12:00:00 AM,Bus Passengers,122823,247512
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,116462,271776
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,69628,43497
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Empty,48490,30678
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Full,39412,27473
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,22471,46756
US-Mexico Border,04/01/2018 12:00:00 AM,Buses,13658,19797
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12620,21038
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5153,11300
US-Canada Border,04/01/2018 12:00:00 AM,Trains,1969,2537
US-Mexico Border,04/01/2018 12:00:00 AM,Trains,902,717
US-Mexico Border,04/01/2018 12:00:00 AM,Train Passengers,826,1039
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,12693029,14146032
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicles,6692650,6544006
US-Mexico Border,03/01/2018 12:00:00 AM,Pedestrians,4177442,3687198
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,4060908,5578487
US-Canada Border,03/01/2018 12:00:00 AM,Personal Vehicles,2114557,2659332
US-Mexico Border,03/01/2018 12:00:00 AM,Trucks,534661,392622
US-Canada Border,03/01/2018 12:00:00 AM,Trucks,500026,511283
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Full,392261,246826
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Full,365815,382809
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Full,156833,107011
US-Mexico Border,03/01/2018 12:00:00 AM,Bus Passengers,153794,247865
US-Mexico Border,03/01/2018 12:00:00 AM,Truck Containers Empty,147407,140796
US-Canada Border,03/01/2018 12:00:00 AM,Truck Containers Empty,145042,86103
US-Canada Border,03/01/2018 12:00:00 AM,Bus Passengers,108766,272388
US-Canada Border,03/01/2018 12:00:00 AM,Rail Containers Empty,69369,43400
US-Mexico Border,03/01/2018 12:00:00 AM,Rail Containers Full,46011,27403
US-Mexico Border,03/01/2018 12:00:00 AM,Rail Containers Empty,45740,30621
US-Canada Border,03/01/2018 12:00:00 AM,Pedestrians,20736,46853
US-Canada Border,03/01/2018 12:00:00 AM,Train Passengers,12891,21069
US-Mexico Border,03/01/2018 12:00:00 AM,Buses,12356,19825
US-Canada Border,03/01/2018 12:00:00 AM,Buses,4862,11325
US-Canada Border,03/01/2018 12:00:00 AM,Trains,1996,2539
US-Mexico Border,03/01/2018 12:00:00 AM,Trains,916,717
US-Mexico Border,03/01/2018 12:00:00 AM,Train Passengers,823,1040
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,10888482,14158325
US-Mexico Border,02/01/2018 12:00:00 AM,Personal Vehicles,5903899,6546422
US-Mexico Border,02/01/2018 12:00:00 AM,Pedestrians,3526195,3687806
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicle Passengers,3022028,5588134
US-Canada Border,02/01/2018 12:00:00 AM,Personal Vehicles,1666594,2663078
US-Mexico Border,02/01/2018 12:00:00 AM,Trucks,491399,392249
US-Canada Border,02/01/2018 12:00:00 AM,Trucks,448194,511521
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Full,351568,246431
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Full,326173,383023
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Full,136507,106900
US-Mexico Border,02/01/2018 12:00:00 AM,Truck Containers Empty,136474,140812
US-Canada Border,02/01/2018 12:00:00 AM,Truck Containers Empty,131612,85932
US-Mexico Border,02/01/2018 12:00:00 AM,Bus Passengers,106763,248397
US-Canada Border,02/01/2018 12:00:00 AM,Bus Passengers,85214,273095
US-Canada Border,02/01/2018 12:00:00 AM,Rail Containers Empty,57667,43346
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Empty,41810,30579
US-Mexico Border,02/01/2018 12:00:00 AM,Rail Containers Full,39167,27359
US-Canada Border,02/01/2018 12:00:00 AM,Pedestrians,12936,46981
US-Mexico Border,02/01/2018 12:00:00 AM,Buses,11504,19856
US-Canada Border,02/01/2018 12:00:00 AM,Train Passengers,8544,21116
US-Canada Border,02/01/2018 12:00:00 AM,Buses,4294,11351
US-Canada Border,02/01/2018 12:00:00 AM,Trains,1712,2542
US-Mexico Border,02/01/2018 12:00:00 AM,Trains,827,716
US-Mexico Border,02/01/2018 12:00:00 AM,Train Passengers,688,1041
US-Mexico Border,01/01/2018 12:00:00 AM,Personal Vehicle Passengers,12138597,14165976
US-Mexico Border,01/01/2018 12:00:00 AM,Personal Vehicles,6406861,6546950
US-Mexico Border,01/01/2018 12:00:00 AM,Pedestrians,3731985,3687638
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicle Passengers,3129055,5597449
US-Canada Border,01/01/2018 12:00:00 AM,Personal Vehicles,1749770,2666537
US-Mexico Border,01/01/2018 12:00:00 AM,Trucks,517144,391776
US-Canada Border,01/01/2018 12:00:00 AM,Trucks,475119,511659
US-Mexico Border,01/01/2018 12:00:00 AM,Truck Containers Full,358320,246007
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Full,350657,383145
US-Mexico Border,01/01/2018 12:00:00 AM,Bus Passengers,158723,248737
US-Mexico Border,01/01/2018 12:00:00 AM,Truck Containers Empty,155604,140756
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Full,147156,106748
US-Canada Border,01/01/2018 12:00:00 AM,Truck Containers Empty,134554,85748
US-Canada Border,01/01/2018 12:00:00 AM,Bus Passengers,77412,273836
US-Canada Border,01/01/2018 12:00:00 AM,Rail Containers Empty,58613,43288
US-Mexico Border,01/01/2018 12:00:00 AM,Rail Containers Empty,45826,30521
US-Mexico Border,01/01/2018 12:00:00 AM,Rail Containers Full,36140,27326
US-Mexico Border,01/01/2018 12:00:00 AM,Buses,13411,19881
US-Canada Border,01/01/2018 12:00:00 AM,Pedestrians,12571,47112
US-Canada Border,01/01/2018 12:00:00 AM,Train Passengers,10821,21155
US-Canada Border,01/01/2018 12:00:00 AM,Buses,4256,11378
US-Canada Border,01/01/2018 12:00:00 AM,Trains,1890,2545
US-Mexico Border,01/01/2018 12:00:00 AM,Trains,899,715
US-Mexico Border,01/01/2018 12:00:00 AM,Train Passengers,823,1042
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14170640
